Statement,Link,Date,Source
What are your questions about the Trump-Ukraine-Biden phone call?,https://www.politifact.com/article/2019/sep/27/what-are-your-questions-about-trump-ukraine-biden-/,"September 27, 2019","By Josie Hollingsworth • September 27, 2019"
Rudy Giuliani's role in Ukraine's investigation of Joe Biden,https://www.politifact.com/article/2019/sep/26/rudy-giulianis-role-ukraines-investigation-joe-bid/,"September 26, 2019","By Bill McCarthy • September 26, 2019"
"Read the declassified whistleblower complaint on Ukraine, Biden and Trump",https://www.politifact.com/article/2019/sep/26/read-declassified-whistleblower-complaint-ukraine-/,"September 26, 2019","By Josie Hollingsworth • September 26, 2019"
Read the Inspector General's letter on the Ukraine whistleblower complaint,https://www.politifact.com/article/2019/sep/26/read-inspector-generals-letter-ukraine-whistleblow/,"September 26, 2019","By Josie Hollingsworth • September 26, 2019"
Here's the readout of Donald Trump's call with Ukrainian President Volodymyr Zelensky,https://www.politifact.com/article/2019/sep/25/read-transcript-donald-trumps-call-ukrainian-presi/,"September 25, 2019","By John Kruzel • September 25, 2019"
"Trump’s Ukraine call, a whistleblower and the Bidens: What we know, what we don’t",https://www.politifact.com/article/2019/sep/23/president-donald-trump-ukraine-biden-whistleblower/,"September 23, 2019","By Louis Jacobson • September 23, 2019"
All of the people facing charges from Mueller’s investigation into Russian meddling,https://www.politifact.com/article/2019/mar/25/who-has-already-been-indicted-russia-investigation/,"n • March 25, 2019","By Amy Sherman • March 25, 2019"
"Is WikiLeaks Russia’s ‘useful idiot,’ its ‘agent of influence,’ or something else?",https://www.politifact.com/article/2019/mar/18/wikileaks-russias-useful-idiot-its-agent-influence/,"l • March 18, 2019","By John Kruzel • March 18, 2019"
Fact-checking Sen. Bill Nelson’s claims about Russia hacking Florida’s election system,https://www.politifact.com/article/2018/aug/22/fact-checking-sen-bill-nelsons-claims-about-russia/,"• August 22, 2018","By Amy Sherman • August 22, 2018"
"Was the Trump Tower meeting with Russian lawyer ‘totally legal,’ as Trump said?",https://www.politifact.com/article/2018/aug/07/was-trump-tower-meeting-russian-lawyer-totally-leg/,"l • August 7, 2018","By John Kruzel • August 7, 2018"
Fact-checking Fox News analyst’s pro-Trump book ‘The Russia Hoax’,https://www.politifact.com/article/2018/aug/02/fact-checking-fox-news-analysts-pro-trump-book-rus/,"l • August 2, 2018","By John Kruzel • August 2, 2018"
A closer look at claims of treason after Trump's meeting with Russian President Putin,https://www.politifact.com/article/2018/jul/23/treason-trumps-actions-russian-putin-meeting/,"on • July 23, 2018","By Louis Jacobson • July 23, 2018"
Trump and Russia: Shifting answers on key questions,https://www.politifact.com/article/2018/jul/20/trump-and-russia-shifting-answers-key-questions/,"rg • July 20, 2018","By Jon Greenberg • July 20, 2018"
A walk in the woulds: Donald Trump reverses Helsinki comments on Russian election interference,https://www.politifact.com/article/2018/jul/17/trump-reverses-russian-election-interference/,"rg • July 17, 2018","By Jon Greenberg • July 17, 2018"
The Russia investigation and Donald Trump: a timeline from on-the-record sources (updated),https://www.politifact.com/article/2018/jul/16/russia-investigation-donald-trump-timeline-updated/,"el • July 16, 2018","By John Kruzel • July 16, 2018"
"Fact-checking Donald Trump's tweetstorm about Mueller, Russia",https://www.politifact.com/article/2018/mar/19/fact-checking-donald-trumps-tweetstorm-mueller-rus/,"n • March 19, 2018","By Louis Jacobson • March 19, 2018"
